time,location,account,tipo,word
2020-04-06 07:00:00,Weston,CandidSchultzCandy89,power,nuclear
2020-04-06 07:00:00,Weston,CandidSchultzCandy89,power,power
2020-04-06 07:02:00,Southton,EvelynHorse29,others,risk
2020-04-06 07:05:00,East Parton,Syndicated5,shake,vibrate
2020-04-06 07:05:00,Scenic Vista,DarkEPlate,hospital,death
2020-04-06 07:08:00,Southton,CandidMartinLight19,hospital,death
2020-04-06 07:10:00,Palace Hills,JordanWantsBac0n,shake,vibrate
2020-04-06 07:11:00,Pepper Mill,Rosa1954Needles,build,build
2020-04-06 07:12:00,Southton,FamousWBanana40,hospital,death
2020-04-06 07:13:00,Palace Hills,CleverScottPlate1964,hospital,death
2020-04-06 07:14:00,Palace Hills,WileyLightJason,hospital,death
2020-04-06 07:17:00,Southton,J0rdanWantsBacon,shake,vibrate
2020-04-06 07:26:00,Southwest,CandidEwingPlate2011,others,emergency
2020-04-06 07:28:00,East Parton,Opportunities2,shake,shake
2020-04-06 07:30:00,Broadview,SmartHCandy1995,power,radiation
2020-04-06 07:37:00,Oak Willow,FamousGCandy1996,hospital,death
2020-04-06 07:38:00,Terrapin Springs,JeffryFish1959,hospital,death
2020-04-06 07:41:00,Broadview,SmartWilliamsCar21,hospital,die
2020-04-06 07:45:00,East Parton,Opportunities2,shake,quake
2020-04-06 07:49:00,Northwest,Syndicated4,others,dangerous
2020-04-06 07:49:00,Oak Willow,FuriousMIcecream,hospital,death
2020-04-06 07:50:00,Old Town,DarkWilkeHouse,hospital,death
2020-04-06 07:50:00,Southton,CantonCoordon2,shake,vibrate
2020-04-06 07:50:00,Chapparal,ObnoxiousFPlate13,hospital,death
2020-04-06 07:51:00,Safe Town,J0rdanWantsBacon,shake,tremble
2020-04-06 07:53:00,Weston,LawrenceObnoxiousL,power,nuclear
2020-04-06 07:53:00,Weston,LawrenceObnoxiousL,power,power
2020-04-06 07:54:00,Palace Hills,MarthaGuapoHolland,shake,quake
2020-04-06 07:56:00,Weston,BusySzerszenIcecream55,others,sad
2020-04-06 07:56:00,Southwest,CleverBeverlyCandy,shake,quake
2020-04-06 07:57:00,Weston,Angela1956,power,power
2020-04-06 07:57:00,Weston,Angela1956,power,power
2020-04-06 07:57:00,Northwest,Joseph_GoodmanBird88,power,power
2020-04-06 07:58:00,Weston,J93Wronski,hospital,death
2020-04-06 07:59:00,Safe Town,SarkisBird88,others,help
2020-04-06 08:00:00,Downtown,AlwaysSafePowerCompany,power,power
2020-04-06 08:00:00,Downtown,AlwaysSafePowerCompany,power,nuclear
2020-04-06 08:00:00,Downtown,AlwaysSafePowerCompany,power,power
2020-04-06 08:00:00,Old Town,Syndicated348,shake,quake
2020-04-06 08:01:00,Pepper Mill,FastDPlate83,others,sad
2020-04-06 08:01:00,Chapparal,Janette30S,power,power
2020-04-06 08:02:00,Pepper Mill,CuriousPlateJesse,power,power
2020-04-06 08:03:00,West Parton,Regina_ZeilerCat2,power,power
2020-04-06 08:04:00,West Parton,M1959Kamnik,power,nuclear
2020-04-06 08:04:00,West Parton,M1959Kamnik,power,power
2020-04-06 08:04:00,Safe Town,AlwaysSafePowerCompany,power,power
2020-04-06 08:07:00,Terrapin Springs,CandidKBowl,power,power
2020-04-06 08:09:00,Southton,PAttentativeLittle,power,power
2020-04-06 08:09:00,Southton,PAttentativeLittle,build,repair
2020-04-06 08:12:00,Old Town,Syndicated348,shake,tremble
2020-04-06 08:15:00,Downtown,JordanWantsBac0n,shake,quake
2020-04-06 08:16:00,Oak Willow,CantonCoordon2,shake,shake
2020-04-06 08:20:00,Cheddarford,Sarah2017B,power,power
2020-04-06 08:26:00,Weston,______3333_____,shake,tremble
2020-04-06 08:27:00,Broadview,FastVBread82,others,sad
2020-04-06 08:32:00,Broadview,FastMCandy,others,sad
2020-04-06 08:33:00,Weston,Opportunities2,shake,vibrate
2020-04-06 08:33:00,Downtown,ShirleyDog68,others,sad
2020-04-06 08:33:00,Broadview,JAttentativeDewitt,power,power
2020-04-06 08:34:00,West Parton,______3333_____,shake,vibrate
2020-04-06 08:34:00,Broadview,Audette1998,others,sad
2020-04-06 08:34:00,Chapparal,JordanWantsBac0n,shake,shake
2020-04-06 08:35:00,Cheddarford,Jeff_ThomasWhale1950,others,sad
2020-04-06 08:36:00,Southwest,BusyBallLight72,others,sad
2020-04-06 08:38:00,Weston,FamousTanyaBanana,build,build
2020-04-06 08:40:00,Cheddarford,M1968Jones,power,power
2020-04-06 08:41:00,Downtown,BusyPamelaCouch,power,power
2020-04-06 08:41:00,Downtown,BusyPamelaCouch,power,nuclear
2020-04-06 08:41:00,Downtown,BusyPamelaCouch,power,power
2020-04-06 08:43:00,Broadview,AObnoxiousWinebrenner,power,power
2020-04-06 08:43:00,Broadview,AObnoxiousWinebrenner,power,nuclear
2020-04-06 08:43:00,Broadview,AObnoxiousWinebrenner,power,power
2020-04-06 08:43:00,Scenic Vista,CleverPattiBread,others,sad
2020-04-06 08:44:00,Weston,WilliamBusyStgermain,power,power
2020-04-06 08:44:00,Weston,WilliamBusyStgermain,power,nuclear
2020-04-06 08:44:00,Weston,WilliamBusyStgermain,power,power
2020-04-06 08:45:00,Southton,CandidPlateMiles_Parrott,power,power
2020-04-06 08:45:00,Southton,CandidPlateMiles_Parrott,power,nuclear
2020-04-06 08:45:00,Southton,CandidPlateMiles_Parrott,power,power
2020-04-06 08:45:00,Weston,Mittie45,others,sad
2020-04-06 08:47:00,Downtown,TallPCouch1979,others,sad
2020-04-06 08:48:00,Terrapin Springs,RunsHammondWhale,power,power
2020-04-06 08:48:00,Terrapin Springs,RunsHammondWhale,power,nuclear
2020-04-06 08:48:00,Terrapin Springs,RunsHammondWhale,power,power
2020-04-06 08:48:00,Cheddarford,Josefina_AllisonMouse1982,others,sad
2020-04-06 08:49:00,Terrapin Springs,CuriousTBread,power,power
2020-04-06 08:49:00,Cheddarford,RunsFrancis_HowardOctopus,others,sad
2020-04-06 08:51:00,Southton,Ben_Garrison12,power,power
2020-04-06 08:51:00,Southton,Ben_Garrison12,power,nuclear
2020-04-06 08:51:00,Southton,Ben_Garrison12,power,power
2020-04-06 08:52:00,Chapparal,CleverBakerCandy,power,power
2020-04-06 08:52:00,Chapparal,CleverBakerCandy,power,nuclear
2020-04-06 08:52:00,Chapparal,CleverBakerCandy,power,power
2020-04-06 08:53:00,Northwest,CuriousSmartBread46,others,sad
2020-04-06 08:54:00,Broadview,Bradley_TaylorFish86,power,power
2020-04-06 08:54:00,Broadview,Bradley_TaylorFish86,power,nuclear
2020-04-06 08:54:00,Broadview,Bradley_TaylorFish86,power,power
2020-04-06 08:55:00,Northwest,FuriousHBowl,power,power
2020-04-06 08:55:00,Northwest,FuriousHBowl,power,nuclear
2020-04-06 08:55:00,Northwest,FuriousHBowl,power,power
2020-04-06 08:57:00,Terrapin Springs,CandidKBowl,power,power
2020-04-06 08:57:00,Terrapin Springs,CandidKBowl,power,nuclear
2020-04-06 08:57:00,Terrapin Springs,CandidKBowl,power,power
2020-04-06 08:59:00,Downtown,JenniferDog58,others,sad
2020-04-06 09:02:00,Cheddarford,Sean_Dunaway1990,others,sad
2020-04-06 09:02:00,Chapparal,Richard_FleetwoodDog2005,power,nuclear
2020-04-06 09:02:00,Chapparal,Richard_FleetwoodDog2005,power,power
2020-04-06 09:06:00,Northwest,DisqueLion84,others,sad
2020-04-06 09:08:00,Downtown,Cheryl_MeeksFish82,others,sad
2020-04-06 09:09:00,Oak Willow,Jose_AikmanBird1964,power,nuclear
2020-04-06 09:09:00,Oak Willow,Jose_AikmanBird1964,power,power
2020-04-06 09:12:00,Old Town,FamousBowlSeitz,others,sad
2020-04-06 09:13:00,Terrapin Springs,handle,shake,quake
2020-04-06 09:13:00,Pepper Mill,KCleverC,others,sad
2020-04-06 09:14:00,Downtown,Syndicated4,shake,shake
2020-04-06 09:15:00,Weston,CantonCoordon2,shake,vibrate
2020-04-06 09:20:00,East Parton,Syndicated5,shake,tremble
2020-04-06 09:22:00,Palace Hills,CBusyEskridge,build,build
2020-04-06 09:26:00,Terrapin Springs,IraSmartHill,others,dangerous
2020-04-06 09:27:00,Easton,HoldsFrank_CasonBear,others,damage
2020-04-06 09:28:00,Chapparal,RichardMouse1995,build,build
2020-04-06 09:35:00,East Parton,DarkCollettBanana61,power,nuclear
2020-04-06 09:35:00,East Parton,DarkCollettBanana61,power,energy
2020-04-06 09:36:00,Broadview,LazyCouchElvin_Ottesen,others,help
2020-04-06 09:36:00,Southton,RacesAndrewMouse,power,power
2020-04-06 09:39:00,Scenic Vista,______3333_____,shake,shake
2020-04-06 09:49:00,Downtown,W25Coates,others,problem
2020-04-06 09:50:00,Old Town,Anthony1996Foster,shake,quake
2020-04-06 10:02:00,Cheddarford,CantonCoordon2,shake,quake
2020-04-06 10:11:00,Scenic Vista,Jason1999,power,power
2020-04-06 10:11:00,Scenic Vista,Jason1999,shake,quake
2020-04-06 10:12:00,Broadview,Eugenia1955,shake,quake
2020-04-06 10:16:00,Old Town,Groce2019,power,nuclear
2020-04-06 10:16:00,Southton,Opportunities2,shake,shake
2020-04-06 10:27:00,East Parton,RandallGuapoHammond,others,problem
2020-04-06 10:32:00,East Parton,DarkChamplinIcecream,power,power
2020-04-06 10:32:00,East Parton,DarkChamplinIcecream,power,nuclear
2020-04-06 10:32:00,East Parton,DarkChamplinIcecream,power,energy
2020-04-06 10:36:00,Pepper Mill,TallLCandy,hospital,die
2020-04-06 10:39:00,Weston,CleverMichealHouse,power,power
2020-04-06 10:39:00,Weston,CleverMichealHouse,power,nuclear
2020-04-06 10:39:00,Weston,CleverMichealHouse,power,energy
2020-04-06 10:40:00,Northwest,NormanFish1994,power,power
2020-04-06 10:40:00,Northwest,NormanFish1994,power,nuclear
2020-04-06 10:40:00,Northwest,NormanFish1994,power,energy
2020-04-06 10:41:00,Scenic Vista,______3333_____,shake,shake
2020-04-06 10:41:00,Weston,SherriLazyHernandez,power,power
2020-04-06 10:41:00,Weston,SherriLazyHernandez,power,nuclear
2020-04-06 10:41:00,Weston,SherriLazyHernandez,power,energy
2020-04-06 10:42:00,Weston,LovesDavidDog,build,build
2020-04-06 10:42:00,Cheddarford,CantonCoordon2,shake,quake
2020-04-06 10:42:00,Palace Hills,TallBreadJoseph,power,power
2020-04-06 10:42:00,Palace Hills,TallBreadJoseph,power,nuclear
2020-04-06 10:42:00,Palace Hills,TallBreadJoseph,power,energy
2020-04-06 10:44:00,Southwest,ObnoxiousWellsPlate,power,power
2020-04-06 10:44:00,Southwest,ObnoxiousWellsPlate,power,nuclear
2020-04-06 10:44:00,Southwest,ObnoxiousWellsPlate,power,energy
2020-04-06 10:48:00,Southwest,LovesNancy_KidderOctopus,power,power
2020-04-06 10:48:00,Southwest,LovesNancy_KidderOctopus,power,nuclear
2020-04-06 10:48:00,Southwest,LovesNancy_KidderOctopus,power,energy
2020-04-06 10:50:00,Weston,RogerHorse1955,power,power
2020-04-06 10:50:00,Weston,RogerHorse1955,power,nuclear
2020-04-06 10:50:00,Weston,RogerHorse1955,power,energy
2020-04-06 10:51:00,Easton,FleetDeborahCar,hospital,die
2020-04-06 10:51:00,Scenic Vista,______3333_____,shake,shake
2020-04-06 10:51:00,East Parton,CleverPlateManuel,power,power
2020-04-06 10:51:00,East Parton,CleverPlateManuel,power,nuclear
2020-04-06 10:51:00,East Parton,CleverPlateManuel,power,energy
2020-04-06 10:57:00,Broadview,LovesRichard_CiaburriMouse,power,power
2020-04-06 10:57:00,Broadview,LovesRichard_CiaburriMouse,power,nuclear
2020-04-06 10:57:00,Broadview,LovesRichard_CiaburriMouse,power,energy
2020-04-06 10:58:00,Scenic Vista,LaurelAttentativeClemons,others,problems
2020-04-06 11:03:00,Weston,FearsBornOctopus,power,power
2020-04-06 11:03:00,Weston,FearsBornOctopus,power,nuclear
2020-04-06 11:03:00,Weston,FearsBornOctopus,power,energy
2020-04-06 11:04:00,Southwest,TallChastainBread,power,nuclear
2020-04-06 11:04:00,Chapparal,CastilloDog1978,power,power
2020-04-06 11:04:00,Chapparal,CastilloDog1978,power,nuclear
2020-04-06 11:04:00,Chapparal,CastilloDog1978,power,energy
2020-04-06 11:06:00,Oak Willow,GuapoCandyCharles,others,help
2020-04-06 11:11:00,Broadview,Syndicated4,shake,quake
2020-04-06 11:13:00,Northwest,LazyJoannHouse,power,power
2020-04-06 11:13:00,Northwest,LazyJoannHouse,power,nuclear
2020-04-06 11:13:00,Northwest,LazyJoannHouse,power,energy
2020-04-06 11:15:00,Palace Hills,CandidKathyIcecream,hospital,die
2020-04-06 11:21:00,Downtown,______3333_____,shake,vibrate
2020-04-06 11:22:00,Weston,FastCouchAmy_Romanowski,power,power
2020-04-06 11:22:00,Weston,FastCouchAmy_Romanowski,power,nuclear
2020-04-06 11:22:00,Weston,FastCouchAmy_Romanowski,power,energy
2020-04-06 11:26:00,West Parton,DCuriousClarke,hospital,die
2020-04-06 11:29:00,Broadview,NelsonAttentativeC,hospital,die
2020-04-06 11:29:00,Weston,TallDBread,power,nuclear
2020-04-06 11:29:00,Weston,TallDBread,power,power
2020-04-06 11:29:00,Weston,TallDBread,build,build
2020-04-06 11:33:00,Terrapin Springs,FamousRCandy,hospital,die
2020-04-06 11:37:00,Scenic Vista,EAttentativeM,hospital,die
2020-04-06 11:38:00,Weston,Corey_LathropWhale31,power,power
2020-04-06 11:39:00,Cheddarford,FuriousBHouse,hospital,die
2020-04-06 11:42:00,Palace Hills,Jonathan_BrownFish89,others,crew
2020-04-06 11:45:00,Northwest,Syndicated4,shake,tremble
2020-04-06 11:46:00,Palace Hills,HoldsRebecca_HerstadMouse,hospital,death
2020-04-06 11:47:00,Easton,I4Barbour,hospital,die
2020-04-06 11:48:00,Scenic Vista,______3333_____,shake,quake
2020-04-06 11:49:00,Old Town,ObnoxiousWilhiteCouch15,hospital,die
2020-04-06 11:50:00,Weston,ObnoxiousBowlPaul,hospital,die
2020-04-06 11:53:00,Downtown,CandidLBread,shake,earthquake
2020-04-06 11:53:00,Scenic Vista,______3333_____,shake,vibrate
2020-04-06 11:53:00,Easton,HoldsFrank_CasonBear,hospital,die
2020-04-06 11:54:00,Weston,DianeBird77,build,build
2020-04-06 11:55:00,Safe Town,Travis42,hospital,die
2020-04-06 11:58:00,Southton,AttentativeAllenLight2002,others,cry
2020-04-06 12:01:00,Weston,CuriousIBread,others,problem
2020-04-06 12:01:00,Southton,BusyScottBowl,power,nuclear
2020-04-06 12:01:00,Southton,BusyScottBowl,power,energy
2020-04-06 12:01:00,Southton,BusyScottBowl,power,nuclear
2020-04-06 12:01:00,Southton,BusyScottBowl,power,energy
2020-04-06 12:02:00,Downtown,Lopez1953,hospital,die
2020-04-06 12:03:00,Southwest,WatchesSharonLion,others,risk
2020-04-06 12:04:00,Broadview,RobertBear1987,hospital,die
2020-04-06 12:05:00,Easton,FearsDavid_LopesBear,hospital,die
2020-04-06 12:05:00,Broadview,FamousBroadwayLight,power,nuclear
2020-04-06 12:05:00,Broadview,FamousBroadwayLight,power,power
2020-04-06 12:05:00,Broadview,FamousBroadwayLight,power,nuclear
2020-04-06 12:05:00,Broadview,FamousBroadwayLight,power,power
2020-04-06 12:05:00,Chapparal,Dickey2005,others,cry
2020-04-06 12:06:00,Downtown,Syndicated4,shake,quake
2020-04-06 12:07:00,Terrapin Springs,FleetGibsonCar1970,build,build
2020-04-06 12:07:00,Scenic Vista,FamousOCar1984,shake,quake
2020-04-06 12:08:00,Weston,CantonCoordon2,shake,shake
2020-04-06 12:08:00,Weston,CandidHBanana21,build,build
2020-04-06 12:10:00,Broadview,KarenFleetPeterson,hospital,die
2020-04-06 12:12:00,Downtown,TallABowl1971,others,crew
2020-04-06 12:12:00,Weston,______3333_____,shake,shake
2020-04-06 12:13:00,Weston,RacesJenniferMouse,hospital,die
2020-04-06 12:14:00,Cheddarford,VirginiaGuapoR,others,help
2020-04-06 12:26:00,Scenic Vista,LovesIona_OxleyBear,build,bridge
2020-04-06 12:30:00,Southton,RichardCandidD,hospital,dead
2020-04-06 12:30:00,Southwest,PhilipWileyParker,power,nuclear
2020-04-06 12:30:00,Southwest,PhilipWileyParker,power,power
2020-04-06 12:50:00,Broadview,AttentativeDCar,others,damage
2020-04-06 12:51:00,Oak Willow,Frances93B,hospital,die
2020-04-06 12:51:00,Downtown,W25Coates,others,help
2020-04-06 12:54:00,Scenic Vista,JObnoxiousAntolin,others,hazard
2020-04-06 12:57:00,Downtown,Diane_LoweBird38,others,problems
2020-04-06 12:59:00,Terrapin Springs,HFamousHutcherson,power,nuclear
2020-04-06 12:59:00,Terrapin Springs,HFamousHutcherson,power,power
2020-04-06 13:08:00,Terrapin Springs,Robert_MancusoOctopus79,build,build
2020-04-06 13:08:00,Downtown,Darcy_RenfrewOctopus73,others,help
2020-04-06 13:08:00,Cheddarford,Wynona1969,build,build
2020-04-06 13:10:00,Weston,RacesLorenaOctopus,power,nuclear
2020-04-06 13:10:00,Weston,RacesLorenaOctopus,power,power
2020-04-06 13:14:00,East Parton,J0rdanWantsBacon,shake,quake
2020-04-06 13:17:00,Scenic Vista,Jessica1963P,power,energy
2020-04-06 13:22:00,Weston,FastKBowl,build,build
2020-04-06 13:23:00,Downtown,Vivian91S,hospital,die
2020-04-06 13:23:00,Cheddarford,RobertFamousV,build,build
2020-04-06 13:29:00,Southton,LazyNLight,others,scar
2020-04-06 13:32:00,Weston,FearsGudrunLion,build,bridge
2020-04-06 13:33:00,Broadview,Syndicated348,shake,vibrate
2020-04-06 13:34:00,Palace Hills,FearsRossBird,power,nuclear
2020-04-06 13:34:00,Palace Hills,FearsRossBird,power,power
2020-04-06 13:36:00,Chapparal,AttentativeMIcecream,build,build
2020-04-06 13:41:00,Terrapin Springs,RobertCandidC,build,build
2020-04-06 13:42:00,Scenic Vista,RacesPatriciaDog,build,build
2020-04-06 13:43:00,Old Town,CleverWBanana1990,build,build
2020-04-06 13:44:00,Southton,RacesCraigCat,build,build
2020-04-06 13:45:00,Pepper Mill,RacesLindaFish,build,build
2020-04-06 13:45:00,Northwest,WileyLCandy,shake,vibrate
2020-04-06 13:49:00,Broadview,LovesRoyCat,build,build
2020-04-06 13:50:00,Weston,James76G,build,build
2020-04-06 13:52:00,Broadview,Oscar_Williams11,build,build
2020-04-06 13:53:00,Southton,SmartHoyBowl,others,cry
2020-04-06 13:53:00,Easton,GuapoMCar,build,build
2020-04-06 13:54:00,Chapparal,FearsHiraldoFish,build,build
2020-04-06 13:55:00,Downtown,CuriousKBread,hospital,death
2020-04-06 13:56:00,Old Town,FamousJamesBanana36,others,scar
2020-04-06 13:56:00,Downtown,CandidFredLight,build,build
2020-04-06 13:57:00,Cheddarford,FamousCronePlate,build,build
2020-04-06 13:58:00,Southton,MarkLion89,build,build
2020-04-06 13:58:00,Easton,CantonCoordon2,shake,tremble
2020-04-06 13:59:00,Scenic Vista,DarkPCandy,build,build
2020-04-06 14:00:00,Old Town,Syndicated348,shake,vibrate
2020-04-06 14:01:00,Palace Hills,CandidKathyIcecream,others,scar
2020-04-06 14:02:00,West Parton,CraigDog26,shake,wobble
2020-04-06 14:02:00,East Parton,Syndicated5,shake,shake
2020-04-06 14:02:00,Broadview,FamousIlaBanana,shake,tremble
2020-04-06 14:02:00,Easton,ObnoxiousMaryBread,build,build
2020-04-06 14:07:00,Easton,HoldsRussell_BridgesCat,others,scar
2020-04-06 14:08:00,Northwest,WileyAHouse,build,build
2020-04-06 14:10:00,West Parton,FamousPlateRobert,build,build
2020-04-06 14:11:00,Cheddarford,TerryMouse97,others,cry
2020-04-06 14:12:00,Old Town,Sandra_Houston34,others,problem
2020-04-06 14:18:00,Downtown,Newman2005,others,sad
2020-04-06 14:32:00,Northwest,CuriousSmartBread46,others,scar
2020-04-06 14:33:00,Safe Town,Earthquake Prediction Center,shake,earthquake
2020-04-06 14:33:00,Safe Town,Earthquake Prediction Center,others,damage
2020-04-06 14:36:00,Safe Town,AlwaysSafePowerCompany,shake,earthquake
2020-04-06 14:36:00,Safe Town,AlwaysSafePowerCompany,power,power
2020-04-06 14:37:00,Safe Town,CleverEllisBread67,others,scar
2020-04-06 14:38:00,Weston,SmartCandyCrutchfield,power,power
2020-04-06 14:38:00,Cheddarford,DerekNolan,shake,earthqwake
2020-04-06 14:39:00,Safe Town,FieldEngineerPhillipCarter,shake,earthquake
2020-04-06 14:39:00,Safe Town,FieldEngineerPhillipCarter,shake,shake
2020-04-06 14:40:00,Chapparal,ChemistryTeacherRichardNelson,shake,earthquake
2020-04-06 14:40:00,Northwest,TonyPeterson,shake,earthquake
2020-04-06 14:40:00,Downtown,TVHostBrad,shake,earthquake
2020-04-06 14:40:00,West Parton,RachelSimmons,shake,earthquake
2020-04-06 14:42:00,Terrapin Springs,RosesAreTheBestFlower,shake,tremble
2020-04-06 14:42:00,Scenic Vista,ChloeJohnson,shake,earthquake
2020-04-06 14:44:00,Cheddarford,DerekNolan,power,power
2020-04-06 14:44:00,UNKNOWN,CelebrityBrattyMatty,shake,earthquake
2020-04-06 14:45:00,Safe Town,AlwaysSafePowerCompany,shake,earthquake
2020-04-06 14:45:00,Palace Hills,Melissa_Reece1991,shake,earthquake
2020-04-06 14:45:00,Palace Hills,Melissa_Reece1991,power,power
2020-04-06 14:46:00,Palace Hills,LazyAPlate,shake,earthqwake
2020-04-06 14:46:00,East Parton,DarkGBanana,shake,earthquake
2020-04-06 14:46:00,Scenic Vista,SophistiCat,shake,earthquakes
2020-04-06 14:46:00,Terrapin Springs,JoanBird2008,shake,earthquake
2020-04-06 14:47:00,Weston,WatchesTerrie_NolandDog,shake,earthquake
2020-04-06 14:47:00,Downtown,TVHostBrad,others,help
2020-04-06 14:48:00,Terrapin Springs,RunsSybertLion,shake,tremble
2020-04-06 14:48:00,Broadview,FamousWBowl1973,shake,earthquake
2020-04-06 14:49:00,Old Town,AttentativeDouglasIcecream,shake,wobble
2020-04-06 14:49:00,Chapparal,SmartVelazquezCandy,shake,wobble
2020-04-06 14:49:00,Easton,CuriousELight,shake,shake
2020-04-06 14:49:00,Pepper Mill,Mary2Redmond,shake,earthquake
2020-04-06 14:49:00,Cheddarford,Jerome_Hussein1956,shake,earthquake
2020-04-06 14:49:00,Old Town,DonnaBear1979,build,build
2020-04-06 14:49:00,East Parton,AttentativeBananaGentry,shake,shake
2020-04-06 14:50:00,Safe Town,AlwaysSafePowerCompany,others,help
2020-04-06 14:50:00,Palace Hills,HoldsJustinCat,shake,tremble
2020-04-06 14:50:00,Weston,LazyPBread55,shake,wobble
2020-04-06 14:50:00,Weston,CandidKlinkBowl61,shake,quake
