location,account,message,num_re,word,time,x
<Location with-held due to contract>,SmartJCouch,I was in an earthquake once. The city should evacuate everyone until the danger of after shocks has parseed. #FTWearthquakeCan,12,earthquake,2020-04-08 11:15:00,20
Downtown,EmergencyManager,"City Emergency Operations Center asks that everyone stay off their phones. You are overloading the system. Stop uploading videos. Also, stop calling the emergency number to report the earthquake. We know. Call if you have a life threatening emergency.",6,earthquake,2020-04-08 12:30:00,21
Terrapin Springs,Terrapin Springs Schools," Remember folks, our student rodeo will last all week, earthquake or not.  Come support our junior rodeo experts and watch our clowns in action",10,earthquake,2020-04-08 12:46:00,22
Cheddarford,DerekNolan,@ChemistryTeacherRichardNelson I bet yuo feel sooooo smart right now with your chemistry degree and this earthquake all around us,6,earthquake,2020-04-08 13:47:00,23
Cheddarford,DerekNolan,the next thing they do after spraying earthquake chemicals is taking down teh hospitals so we cant get the brain chemicals out either,6,earthquake,2020-04-08 14:04:00,24
Scenic Vista,SharpKnive, Waht the... I came over here to steal the rich people's pretty view and suddenly everyones' panicking about a little shaking #FTWWaht,7,shake,2020-04-08 14:08:00,25
Scenic Vista,ChloeJohnson,"Pomelo never liked the cat, but I canít just let them die! Theyíre in there, trapped in the rubble! Someone help!",7,rubble,2020-04-08 14:18:00,26
Downtown,KRAKTV,We are tracking rumors that the famous singer Lacki Dasical is missing and possibly buried in the rubble of her hotel. KRAK TV will host a half hour special; Celebrities and Disasters.,6,rubble,2020-04-08 14:30:00,27
Downtown,Pontific8," With such an imminent disaster, you have the audacity to run a special on celebrity disasters? This is why I don't own a television.",6,disaster,2020-04-08 14:38:00,28
Southton,Donald1975Stark,Not a lot of room in the disaster shelter!,23,disaster,2020-04-08 14:59:00,29
Palace Hills,TallBreadJoseph,Bulldosers are trying to remove the rubble on the street. Yay!,22,rubble,2020-04-08 15:28:00,30
Cheddarford,FastBreadSteven_Chappell,Look at this website. This guy predicted our earthquake and many more. Its a secret process that involves observing behavior of farm animals. If only... ,10,earthquake,2020-04-08 17:00:00,31
Old Town,CuriousPLight2006,High school gym as a disaster shelter? Why not?,18,disaster,2020-04-08 18:18:00,32
Broadview,FleetTCandy,Maybe they're just trying to stop people from calling about the earthquake!,6,earthquake,2020-04-08 18:31:00,33
Terrapin Springs,FuriousCarJoshua,"Help! Trevor and I are wandering, trying to find the disaster shelter.",12,disaster,2020-04-08 18:37:00,34
Scenic Vista,CleverHanesPlate1986,"Help! Greg and I are wandering, trying to find the disaster shelter.",6,disaster,2020-04-08 18:52:00,35
<Location with-held due to contract>,Quarke,"Our library is a pile of rubble now, what do we do now?",8,rubble,2020-04-08 19:05:00,36
Scenic Vista,Marco, LOL I don't need a tag to know to leave this pile of rubble #LOLCan,8,rubble,2020-04-08 23:53:00,37
Southton,BoredInStMark," Never thought the night life would be ""clear rubble"" #stupidEarthquake #HatestupidEarthquakeWonder",6,rubble,2020-04-09 00:12:00,38
West Parton,RachelSimmons,federal disaster response team please help my boyfriend @TonyPeterson,8,disaster,2020-04-09 02:06:00,39
Safe Town,AlwaysSafePowerCompany,Thank you Federal Disaster Response Team for arseisting our neighborhoods in this trying time! We at Always Safe Power Company are also expanding our efforts as much as possible to arseist our neighbors. Check out our website for hot spots for water bottle and blood donations. #alwayssafe,11,disaster,2020-04-09 02:11:00,40
Palace Hills,HappyNess, Nobody's dying. it's just a little shaking. You guys don't know what a *real* earthquake feels like.,10,shake,2020-04-09 06:35:00,41
Chapparal,ChemistryTeacherRichardNelson,I bet you are the only one on earth who know about THAT earthquake,6,earthquake,2020-04-09 08:08:00,42
Chapparal,ChemistryTeacherRichardNelson,And it's been estimated that an earthquake of magnitude 11 would split the earth in two. So I'm wondering how you survived a 12.1.,6,earthquake,2020-04-09 08:11:00,43
Chapparal,ChemistryTeacherRichardNelson,Because there is nothing on the Internet ever mentioning a 12.1 earthquake,11,earthquake,2020-04-09 10:14:00,44
Cheddarford,RacesMarvin_FordLion,"Help! Lucy and I are wandering, trying to find the disaster shelter.",24,disaster,2020-04-09 11:41:00,45
Downtown,KRAKTV,Lacki Dasical made appearance at a disaster relief shelter today with her entourage in tow. Fans are relieved that she is safe,10,disaster,2020-04-09 12:00:00,46
Old Town,CleverPlateVincent,"Lacki Dasical, the famous singer who was in town for a concert visited survivors at the disaster shelter set up in Old Town's civic arena. She accompanied by at least 20 reporters and several arseistants. #WinsDasical",8,disaster,2020-04-09 12:00:00,47
Scenic Vista,ChloeJohnson,@AlwaysSafePowerCompany what about free rubble clearing? free hot food and water?!,8,rubble,2020-04-09 12:32:00,48
Easton,FuriousKaneCar,"Lets help each other out and clear that rubble off the sidewalks. People with disabilities, like me, and the elderly can't get anywhere until the sidewalks are cleared.",9,rubble,2020-04-09 13:30:00,49
Easton,RunsSerenaBird,"KRAK TV Lacki Dasical has called for a global moment of silence for all those, and their animals, who have been negatively affected by the earthquake in St. Himark as well as around the world. She asks that you send your donations to the Lacki Cares Fund.",9,earthquake,2020-04-09 14:30:00,50
Chapparal,BusyMelanieIcecream,We've all suffered from this earthquake #WeveCan,21,earthquake,2020-04-09 14:35:00,51
Chapparal,Nicholas81Svec,"Help! Sandra and I are wandering, trying to find the disaster shelter.",13,disaster,2020-04-09 14:40:00,52
Old Town,WileyCouchAlbert_Gibson,We have temporarily suspended rescue efforts until we can determine the stability of the rubble.,15,rubble,2020-04-09 15:13:00,53
<Location with-held due to contract>,FastCandyJerry,"KRAK TV: Wilderness Scout leaders admitted they might have made a mistake in putting out a call for donations. 'The community really stepped up and gave, and now we dont know what do with everything we have been given.' Scouts are piling through mountains of shoes, baby bottles, homecooked food, tire chains, and much, much more which have filled the warehouse donated by Vizsla brand stores. Local emergency managers recommend donating money to your favorite charity instead of goods. 'Experience from other disasters has shown that many donated items never get into the hands of people who need it. It creates a logistical nightmare and requires us to arseign precious resources to managing donations. Above all else, dont donate homecooked food - we just throw it away. ",11,disaster,2020-04-09 19:00:00,54
Terrapin Springs,LazyIcecreamJoseph_Watkins,"Help! Ocean and I are wandering, trying to find the disaster shelter.",19,disaster,2020-04-09 21:10:00,55
Cheddarford,RunsFrancis_HowardOctopus,"When are schools going to open again? I cant repair my house, stand in line for disaster supplies and watch my kids.",13,disaster,2020-04-10 06:30:00,56
Broadview,BroadviewBoi,"The disaster shelter here is hot, there is no ventilation, and really crowded. Don't come here if you are looking for shelter!",10,disaster,2020-04-10 09:00:00,57
Southwest,BusyMHouse,"Help! Georgina and I are found, trying to find the disaster shelter.",32,disaster,2020-04-10 10:25:00,58
