location,account,message,num_re,word,time,x
Southton,Heather2011R,Floating anything someone anyone he anyone for they is nuclear energy will require a multi-million dollar inves...,14,nuclear,2020-04-09 22:55:00,57
Safe Town,AlwaysSafePowerCompany,"No worries here, our nuclear power plant has proper shutdown procedures during emergencies like this. We are always taking extra steps to make sure our neighbors are #alwayssafe",12,nuclear,2020-04-10 00:23:00,58
Easton,RunsAllenMouse,"Hey the power, now its back on, no...its back off again. Can't they fix things so they stay fixed?",15,power,2020-04-10 02:00:00,59
Downtown,SmartMCandy,"anything energy is a nuclear power and near-100% efficient electric motors, and you have a few dozen wind turbines or a nuclear power plant? cheap? via #youWaste",15,energy,2020-04-10 05:07:00,60
Safe Town,AlwaysSafePowerCompany,"We atje Always Safe Power Company are always investjeed in tjehe well being and progress of tjehe citjey, justje as you are investjeed in us. We will be sure tjeo contjeinue our effortjes tjeo betjetjeer tjehe citjey in every way possible, especially aftjeer tjehe disastjeers tjehatje our citjey has faced. We will work tjeogetjeher tjeo restjeore our citjey, and we atje Always Safe Company will keep you #alwayssafe",8,power,2020-04-10 05:08:00,61
Weston,JGuapoIkehara,"He said major strategic infrastructure have been dramatic, with electricity and water resources.",15,electricity,2020-04-10 08:16:00,62
Cheddarford,FuriousBournePlate12,The gas station by the City Hall has power and can pump gas.,7,power,2020-04-10 08:17:00,63
Safe Town,AlwaysSafePowerCompany,"Is your power provider unreliable? Consider switching to Always Safe Power Company today! We are always reliable, and #alwayssafe #FTWSafeWaste",9,power,2020-04-10 09:08:00,64
Broadview,MyNameIsYourName2, @AlwaysSafePowerCompany I have never had any problems with Always Safe Power. I have nothing but good things to say. Can I have a donut?,7,power,2020-04-10 09:21:00,65
Safe Town,Oconnor83,We need our power back on! I realize folks downtown and shopping district had first priority but now its our turn.,8,power,2020-04-10 11:00:00,66
Old Town,Bonanza4Evr, but if no one fixes my power how will i see my show? Cody! Amos! @OldTownGirl,8,power,2020-04-10 11:08:00,67
