location,account,message,num_re,word,time,x
Old Town,RacesFielderWhale,Whereís the help? @AdministratorSophie come help meee you canít just mail me water!!,9,water,2020-04-08 14:09:00,36
Scenic Vista,ChloeJohnson,Oh my god a house nearby is burning! Whereís tghehe fire departghementghe?!,9,fire,2020-04-08 14:11:00,37
Old Town,OldTownGirl,I think at least three fire trucks went past my house!,7,fire,2020-04-08 14:15:00,38
Scenic Vista,ChloeJohnson,They finally puthgat outhgat thgathathgat fire! Why did ithgat thgatake so long!,8,fire,2020-04-08 14:30:00,39
Old Town,OldTownBlues,DM me if you work for the fire department,7,fire,2020-04-08 14:32:00,40
Easton,David_Robinson94,Just realized I brought the bottles of gin instead of water!!!,7,water,2020-04-08 14:42:00,41
Old Town,ObnoxiousSBanana54,@Chocolatte I found bottled water!!!!,9,water,2020-04-08 14:55:00,42
Downtown,LizComputerWiz,@EscalanteBird1965 @LazyDorisBread I read online that bottled water should be safe to drink! That's great!,9,water,2020-04-08 14:59:00,43
Southwest,J2001Bui,Water is up to my knees. Great.,15,water,2020-04-08 15:57:00,44
Broadview,FastGravesBread1955,They ran out of water before I could get to the store. Now what will I do?,25,water,2020-04-08 16:26:00,45
Broadview,KevinAttentativeSmith,Department of Public Health and St Himark Water and Sewer: Dont forget to boil your water for at least 2 minutes.,13,water,2020-04-08 17:00:00,46
Safe Town,Runner23, Can confirm. No water at all here,7,water,2020-04-08 17:10:00,47
Downtown,TVHostBrad,"reporting sewer breakout in neighborhoods Old Town, Safe Town, Scenic Vista, Broadview. Take cover!",8,sewer,2020-04-08 17:28:00,48
Palace Hills,CuriousThomasBowl,manager @Bradley_TaylorFish86 said fire station was open. Got there and it was closed!,15,fire,2020-04-08 17:44:00,49
Old Town,SunnyDay,  Now the water and sewer are out. This is even worse than when I got stuck on the cruise and everyone got sick.,9,water,2020-04-08 18:02:00,50
Scenic Vista,ChloeJohnson,We need help in Scenic Vista! Many collapsed houses and there are fires too!,11,fire,2020-04-08 18:07:00,51
Safe Town,Workin4aLivin, And now we have no water. Earthquake is is the worst,6,water,2020-04-08 18:35:00,52
Safe Town,AlwaysSafePowerCompany,"Higbee County Search and Rescue, weíre sending our volunteers with food and water to you right away! Thank you for your service to our neighborhoods. #alwayssafe",8,water,2020-04-08 19:13:00,53
Old Town,OldTownBlues,"we still need: water, food, bandages, insulin and flashlights",11,water,2020-04-08 19:16:00,54
Old Town,OldTownBlues,Got a group of people who are stayin warm around a trash can fire #stayinalive,6,fire,2020-04-08 23:41:00,55
Downtown,SewerDept,"The entire sewer system is offline. Waste is filling in the holding tanks, but they wont hold for long. Remember to boil drinking water.",6,sewer,2020-04-09 00:00:00,56
Cheddarford,DerekNolan,"I'm watching sewage creep up towards cheryls tires. if she gets dirty, Im suing the city",6,sewage,2020-04-09 00:04:00,57
Chapparal,CedricLazySingletary,3 Alarm Fire at Guppy Apartments in Neighborhood 10 started by a candle left unattended.,6,fire,2020-04-09 01:30:00,58
Old Town,WatchesDolly_ThomasDog,Water is up to my knees. Great. @AldanaLion62,17,water,2020-04-09 03:12:00,59
Easton,WileySarahBanana,Knew the sewers were going to back up at some point.,8,sewer,2020-04-09 04:24:00,60
Cheddarford,DerekNolan,DOES ANYONE WANT TO ESCAPE OR WILL YOU ROT IN THIS SEWAGE PIT FOR THE REST OF ETERNITY,10,sewage,2020-04-09 08:04:00,61
Downtown,TVHostBrad,The government needs to prioritize food and water,6,water,2020-04-09 08:04:00,62
Safe Town,FieldEngineerPhillipCarter,"People need water, food and electricity. #FTWandWaste",10,water,2020-04-09 08:04:00,63
Downtown,TVHostBrad,prices are going up and there is not help from the government for people in need of food and water,9,water,2020-04-09 08:09:00,64
Scenic Vista,ChloeJohnson,Ithiknís sthiknarthikning thikno smell hereÖ I doníthikn thiknhink sewage or power are gethiknthikning fixed soon :angry:,7,sewage,2020-04-09 08:09:00,65
Oak Willow,NewGuy2," ppl are gouging in food and water, but ATMs are down... need water soon, starting 2 get scary #ATMsWaste",6,water,2020-04-09 08:12:00,66
<Location with-held due to contract>,SmartRBowl,Department of Health and the St. Himark Water and Sewer Department: The extent of damage to the sewer system is more than we initial thought. All St. Himark residents should boil their drinking water until further notice. We have put out a nationwide call for portable restrooms since the sewer system will take months to repair.,8,water,2020-04-09 08:35:00,67
Safe Town,NotThirstyNEMore,"finally got some food and bottled water, thanks @AlwaysSafePowerCompany!",11,water,2020-04-09 10:05:00,68
Northwest,TallAshleyHouse,Sewers is our all over. What are we going to do?,12,sewer,2020-04-09 11:00:00,69
Northwest,TonyPeterson,Food Poisoning? Probably that contaminated water,10,water,2020-04-09 11:06:00,70
Easton,Philip82,The grocery store by the fire station has power.,12,fire,2020-04-09 11:09:00,71
<Location with-held due to contract>,Frank1988,My cousing works in the sewer department. Its not just the broken sewer pipes but also the treatment plant. Many parts of the city will be using portable toilets for months!,11,sewer,2020-04-09 11:30:00,72
Weston,CandidSchultzCandy89,"Wait, if we need to turn off gas, how are we supposed to boil water?",22,water,2020-04-09 12:01:00,73
Downtown,Goody2Shues, Boil your water. Calm down. Stop making a scene.,8,water,2020-04-09 12:07:00,74
Northwest,Teresa97A,"No gas means no stove, no stove means no boiling water. Really feeling like a lose-lose situation.",14,water,2020-04-09 12:24:00,75
Safe Town,AlwaysSafePowerCompany,Free food and water at hotspots (check out our website for more information). Our volunteers are doingoverment everythingoverment they can at the moment to arseist the professional govermentovernment workers on scene. We prioritize the safety of both you and our employee #alwayssafe #HatealwayssafeCan,9,water,2020-04-09 12:45:00,76
West Parton,Ann13Lafosse,"The other approach that is happening on a nearby cemetery with dozens of graves of people and departed on a shared basis by installing and maintaining water supply and pastureland irrigation, provide food security arseessment mission comprising representatives from the south in something",8,water,2020-04-09 14:38:00,77
Northwest,SunnyDay, and yeah.. so much water.. @Bonanze4Evr repair crews can't get anywhere..,7,water,2020-04-10 04:34:00,78
<Location with-held due to contract>,Oleta1995B,"Department of Water and Sewer: We hope to restore sewer service to neighborhoods 1, 2,5,6, 16, and 19. For the other neighborhoods it might be a while. The main feeder line is damaged as well as the filtration plant serviing those areas.",13,water,2020-04-10 07:00:00,79
Cheddarford,DerekNolan,@WanbdlkerTree we canbdn stanbdrt fires in those gianbdnt banbdrrel things anbdnd roanbdst overly panbdmpered ferret,9,fire,2020-04-10 07:20:00,80
<Location with-held due to contract>,St Himark Human Resources Dept.,"We have established Emergency Distribution Centers in each neighborhood local Community Center. Anyone can go there to obtain bottled water, nutricious food, and blankets #Center",11,water,2020-04-10 09:00:00,81
Old Town,BarryB,"Everywhere we go for help, we have to wait in line. Bottled water, tarps, food, or information. One line after another. There has to be a better way.",8,water,2020-04-10 11:00:00,82
Northwest,WileyKohnCandy,@RonaldFleetA Never thought I would be so happy to see bottled water and crackers!,13,water,2020-04-10 11:07:00,83
