"location","keyword","frequency","time"
"old town","earthquake","0","08/04 @ 07h"
"old town","earthquake","4","08/04 @ 08h"
"old town","earthquake","12","08/04 @ 09h"
"old town","earthquake","0","08/04 @ 10h"
"old town","earthquake","1","08/04 @ 11h"
"old town","earthquake","0","08/04 @ 12h"
"old town","earthquake","0","08/04 @ 13h"
"old town","earthquake","4","08/04 @ 14h"
"old town","earthquake","1","08/04 @ 15h"
"old town","earthquake","3","08/04 @ 16h"
"old town","earthquake","0","08/04 @ 17h"
"old town","earthquake","8","08/04 @ 18h"
"old town","earthquake","0","08/04 @ 19h"
"old town","earthquake","1","08/04 @ 20h"
"old town","earthquake","0","08/04 @ 21h"
"old town","earthquake","0","08/04 @ 22h"
"old town","earthquake","0","08/04 @ 23h"
"old town","earthquake","0","09/04 @ 00h"
"old town","earthquake","0","09/04 @ 01h"
"old town","earthquake","1","09/04 @ 02h"
"old town","earthquake","0","09/04 @ 03h"
"old town","earthquake","0","09/04 @ 04h"
"old town","earthquake","0","09/04 @ 05h"
"old town","earthquake","0","09/04 @ 06h"
"old town","earthquake","1","09/04 @ 07h"
"old town","earthquake","3","09/04 @ 08h"
"old town","earthquake","1","09/04 @ 09h"
"old town","earthquake","1","09/04 @ 10h"
"old town","earthquake","1","09/04 @ 11h"
"old town","earthquake","2","09/04 @ 12h"
"old town","earthquake","1","09/04 @ 13h"
"old town","earthquake","0","09/04 @ 14h"
"old town","earthquake","5","09/04 @ 15h"
"old town","earthquake","3","09/04 @ 16h"
"old town","earthquake","0","09/04 @ 17h"
"old town","earthquake","2","09/04 @ 18h"
"old town","earthquake","1","09/04 @ 19h"
"old town","earthquake","0","09/04 @ 20h"
"old town","earthquake","0","09/04 @ 21h"
"old town","earthquake","2","09/04 @ 22h"
"old town","earthquake","0","09/04 @ 23h"
"old town","earthquake","0","10/04 @ 00h"
"old town","earthquake","0","10/04 @ 01h"
"old town","earthquake","0","10/04 @ 02h"
"old town","earthquake","0","10/04 @ 03h"
"old town","earthquake","0","10/04 @ 04h"
"old town","earthquake","0","10/04 @ 05h"
"old town","earthquake","0","10/04 @ 06h"
"old town","earthquake","0","10/04 @ 07h"
"old town","earthquake","1","10/04 @ 08h"
"old town","earthquake","0","10/04 @ 09h"
"old town","earthquake","0","10/04 @ 10h"
"old town","earthquake","5","10/04 @ 11h"
"old town","earthquake","0","10/04 @ 12h"
"old town","power","0","06/04 @ 00h"
"old town","power","0","06/04 @ 01h"
"old town","power","0","06/04 @ 02h"
"old town","power","0","06/04 @ 03h"
"old town","power","0","06/04 @ 04h"
"old town","power","0","06/04 @ 05h"
"old town","power","0","06/04 @ 06h"
"old town","power","0","06/04 @ 07h"
"old town","power","1","06/04 @ 08h"
"old town","power","1","06/04 @ 09h"
"old town","power","1","06/04 @ 10h"
"old town","power","0","06/04 @ 11h"
"old town","power","1","06/04 @ 12h"
"old town","power","0","06/04 @ 13h"
"old town","power","0","06/04 @ 14h"
"old town","power","2","06/04 @ 15h"
"old town","power","2","06/04 @ 16h"
"old town","power","5","06/04 @ 17h"
"old town","power","0","06/04 @ 18h"
"old town","power","0","06/04 @ 19h"
"old town","power","1","06/04 @ 20h"
"old town","power","0","06/04 @ 21h"
"old town","power","0","06/04 @ 22h"
"old town","power","0","06/04 @ 23h"
"old town","power","0","07/04 @ 00h"
"old town","power","0","07/04 @ 01h"
"old town","power","0","07/04 @ 02h"
"old town","power","0","07/04 @ 03h"
"old town","power","0","07/04 @ 04h"
"old town","power","0","07/04 @ 05h"
"old town","power","0","07/04 @ 06h"
"old town","power","0","07/04 @ 07h"
"old town","power","38","07/04 @ 08h"
"old town","power","1","07/04 @ 09h"
"old town","power","0","07/04 @ 10h"
"old town","power","0","07/04 @ 11h"
"old town","power","0","07/04 @ 12h"
"old town","power","0","07/04 @ 13h"
"old town","power","0","07/04 @ 14h"
"old town","power","2","07/04 @ 15h"
"old town","power","0","07/04 @ 16h"
"old town","power","0","07/04 @ 17h"
"old town","power","3","07/04 @ 18h"
"old town","power","5","07/04 @ 19h"
"old town","power","2","07/04 @ 20h"
"old town","power","0","07/04 @ 21h"
"old town","power","0","07/04 @ 22h"
"old town","power","2","07/04 @ 23h"
"old town","power","0","08/04 @ 00h"
"old town","power","0","08/04 @ 01h"
"old town","power","0","08/04 @ 02h"
"old town","power","0","08/04 @ 03h"
"old town","power","0","08/04 @ 04h"
"old town","power","0","08/04 @ 05h"
"old town","power","0","08/04 @ 06h"
"old town","power","13","08/04 @ 07h"
"old town","power","4","08/04 @ 08h"
"old town","power","3","08/04 @ 09h"
"old town","power","3","08/04 @ 10h"
"old town","power","1","08/04 @ 11h"
"old town","power","1","08/04 @ 12h"
"old town","power","11","08/04 @ 13h"
"old town","power","4","08/04 @ 14h"
"old town","power","2","08/04 @ 15h"
"old town","power","4","08/04 @ 16h"
"old town","power","2","08/04 @ 17h"
"old town","power","4","08/04 @ 18h"
"old town","power","5","08/04 @ 19h"
"old town","power","4","08/04 @ 20h"
"old town","power","3","08/04 @ 21h"
"old town","power","4","08/04 @ 22h"
"old town","power","3","08/04 @ 23h"
"old town","power","0","09/04 @ 00h"
"old town","power","5","09/04 @ 01h"
"old town","power","3","09/04 @ 02h"
"old town","power","8","09/04 @ 03h"
"old town","power","0","09/04 @ 04h"
"old town","power","2","09/04 @ 05h"
"old town","power","1","09/04 @ 06h"
"old town","power","0","09/04 @ 07h"
"old town","power","4","09/04 @ 08h"
"old town","power","12","09/04 @ 09h"
"old town","power","12","09/04 @ 10h"
"old town","power","13","09/04 @ 11h"
"old town","power","12","09/04 @ 12h"
"old town","power","0","09/04 @ 13h"
"old town","power","10","09/04 @ 14h"
"old town","power","0","09/04 @ 15h"
"old town","power","0","09/04 @ 16h"
"old town","power","0","09/04 @ 17h"
"old town","power","0","09/04 @ 18h"
"old town","power","0","09/04 @ 19h"
"old town","power","0","09/04 @ 20h"
"old town","power","0","09/04 @ 21h"
"old town","power","1","09/04 @ 22h"
"old town","power","0","09/04 @ 23h"
"old town","power","0","10/04 @ 00h"
"old town","power","4","10/04 @ 01h"
"old town","power","2","10/04 @ 02h"
"old town","power","0","10/04 @ 03h"
"old town","power","3","10/04 @ 04h"
"old town","power","0","10/04 @ 05h"
"old town","power","0","10/04 @ 06h"
"old town","power","0","10/04 @ 07h"
"old town","power","2","10/04 @ 08h"
"old town","power","2","10/04 @ 09h"
"old town","power","0","10/04 @ 10h"
"old town","power","6","10/04 @ 11h"
"old town","power","0","10/04 @ 12h"
"old town","road","0","06/04 @ 00h"
"old town","road","0","06/04 @ 01h"
"old town","road","0","06/04 @ 02h"
"old town","road","0","06/04 @ 03h"
"old town","road","0","06/04 @ 04h"
"old town","road","0","06/04 @ 05h"
"old town","road","0","06/04 @ 06h"
"old town","road","0","06/04 @ 07h"
"old town","road","0","06/04 @ 08h"
"old town","road","0","06/04 @ 09h"
"old town","road","0","06/04 @ 10h"
"old town","road","0","06/04 @ 11h"
"old town","road","0","06/04 @ 12h"
"old town","road","1","06/04 @ 13h"
"old town","road","0","06/04 @ 14h"
"old town","road","0","06/04 @ 15h"
"old town","road","0","06/04 @ 16h"
"old town","road","0","06/04 @ 17h"
"old town","road","0","06/04 @ 18h"
"old town","road","0","06/04 @ 19h"
"old town","road","0","06/04 @ 20h"
"old town","road","0","06/04 @ 21h"
"old town","road","0","06/04 @ 22h"
"old town","road","0","06/04 @ 23h"
"old town","road","0","07/04 @ 00h"
"old town","road","0","07/04 @ 01h"
"old town","road","0","07/04 @ 02h"
"old town","road","0","07/04 @ 03h"
"old town","road","0","07/04 @ 04h"
"old town","road","0","07/04 @ 05h"
"old town","road","0","07/04 @ 06h"
"old town","road","0","07/04 @ 07h"
"old town","road","1","07/04 @ 08h"
"old town","road","0","07/04 @ 09h"
"old town","road","0","07/04 @ 10h"
"old town","road","1","07/04 @ 11h"
"old town","road","0","07/04 @ 12h"
"old town","road","0","07/04 @ 13h"
"old town","road","0","07/04 @ 14h"
"old town","road","0","07/04 @ 15h"
"old town","road","0","07/04 @ 16h"
"old town","road","0","07/04 @ 17h"
"old town","road","0","07/04 @ 18h"
"old town","road","0","07/04 @ 19h"
"old town","road","0","07/04 @ 20h"
"old town","road","0","07/04 @ 21h"
"old town","road","0","07/04 @ 22h"
"old town","road","0","07/04 @ 23h"
"old town","road","0","08/04 @ 00h"
"old town","road","0","08/04 @ 01h"
"old town","road","0","08/04 @ 02h"
"old town","road","0","08/04 @ 03h"
"old town","road","0","08/04 @ 04h"
"old town","road","0","08/04 @ 05h"
"old town","road","0","08/04 @ 06h"
"old town","road","0","08/04 @ 07h"
"old town","road","3","08/04 @ 08h"
"old town","road","2","08/04 @ 09h"
"old town","road","0","08/04 @ 10h"
"old town","road","0","08/04 @ 11h"
"old town","road","4","08/04 @ 12h"
"old town","road","8","08/04 @ 13h"
"old town","road","7","08/04 @ 14h"
"old town","road","4","08/04 @ 15h"
"old town","road","1","08/04 @ 16h"
"old town","road","2","08/04 @ 17h"
"old town","road","1","08/04 @ 18h"
"old town","road","0","08/04 @ 19h"
"old town","road","1","08/04 @ 20h"
"old town","road","1","08/04 @ 21h"
"old town","road","2","08/04 @ 22h"
"old town","road","2","08/04 @ 23h"
"old town","road","5","09/04 @ 00h"
"old town","road","0","09/04 @ 01h"
"old town","road","1","09/04 @ 02h"
"old town","road","0","09/04 @ 03h"
"old town","road","4","09/04 @ 04h"
"old town","road","3","09/04 @ 05h"
"old town","road","2","09/04 @ 06h"
"old town","road","3","09/04 @ 07h"
"old town","road","2","09/04 @ 08h"
"old town","road","4","09/04 @ 09h"
"old town","road","1","09/04 @ 10h"
"old town","road","0","09/04 @ 11h"
"old town","road","0","09/04 @ 12h"
"old town","road","0","09/04 @ 13h"
"old town","road","3","09/04 @ 14h"
"old town","road","2","09/04 @ 15h"
"old town","road","0","09/04 @ 16h"
"old town","road","0","09/04 @ 17h"
"old town","road","0","09/04 @ 18h"
"old town","road","1","09/04 @ 19h"
"old town","road","4","09/04 @ 20h"
"old town","road","0","09/04 @ 21h"
"old town","road","0","09/04 @ 22h"
"old town","road","0","09/04 @ 23h"
"old town","road","0","10/04 @ 00h"
"old town","road","0","10/04 @ 01h"
"old town","road","0","10/04 @ 02h"
"old town","road","0","10/04 @ 03h"
"old town","road","0","10/04 @ 04h"
"old town","road","0","10/04 @ 05h"
"old town","road","1","10/04 @ 06h"
"old town","road","4","10/04 @ 07h"
"old town","road","1","10/04 @ 08h"
"old town","road","0","10/04 @ 09h"
"old town","road","1","10/04 @ 10h"
"old town","road","0","10/04 @ 11h"
"old town","road","0","10/04 @ 12h"
"old town","medical","0","06/04 @ 00h"
"old town","medical","0","06/04 @ 01h"
"old town","medical","0","06/04 @ 02h"
"old town","medical","0","06/04 @ 03h"
"old town","medical","0","06/04 @ 04h"
"old town","medical","0","06/04 @ 05h"
"old town","medical","0","06/04 @ 06h"
"old town","medical","0","06/04 @ 07h"
"old town","medical","0","06/04 @ 08h"
"old town","medical","0","06/04 @ 09h"
"old town","medical","0","06/04 @ 10h"
"old town","medical","0","06/04 @ 11h"
"old town","medical","0","06/04 @ 12h"
"old town","medical","0","06/04 @ 13h"
"old town","medical","0","06/04 @ 14h"
"old town","medical","0","06/04 @ 15h"
"old town","medical","0","06/04 @ 16h"
"old town","medical","0","06/04 @ 17h"
"old town","medical","0","06/04 @ 18h"
"old town","medical","0","06/04 @ 19h"
"old town","medical","0","06/04 @ 20h"
"old town","medical","0","06/04 @ 21h"
"old town","medical","0","06/04 @ 22h"
"old town","medical","0","06/04 @ 23h"
"old town","medical","0","07/04 @ 00h"
"old town","medical","0","07/04 @ 01h"
"old town","medical","0","07/04 @ 02h"
"old town","medical","0","07/04 @ 03h"
"old town","medical","0","07/04 @ 04h"
"old town","medical","0","07/04 @ 05h"
"old town","medical","0","07/04 @ 06h"
"old town","medical","0","07/04 @ 07h"
"old town","medical","0","07/04 @ 08h"
"old town","medical","0","07/04 @ 09h"
"old town","medical","0","07/04 @ 10h"
"old town","medical","0","07/04 @ 11h"
"old town","medical","0","07/04 @ 12h"
"old town","medical","0","07/04 @ 13h"
"old town","medical","0","07/04 @ 14h"
"old town","medical","0","07/04 @ 15h"
"old town","medical","0","07/04 @ 16h"
"old town","medical","0","07/04 @ 17h"
"old town","medical","0","07/04 @ 18h"
"old town","medical","0","07/04 @ 19h"
"old town","medical","0","07/04 @ 20h"
"old town","medical","0","07/04 @ 21h"
"old town","medical","0","07/04 @ 22h"
"old town","medical","0","07/04 @ 23h"
"old town","medical","0","08/04 @ 00h"
"old town","medical","0","08/04 @ 01h"
"old town","medical","0","08/04 @ 02h"
"old town","medical","0","08/04 @ 03h"
"old town","medical","0","08/04 @ 04h"
"old town","medical","0","08/04 @ 05h"
"old town","medical","0","08/04 @ 06h"
"old town","medical","0","08/04 @ 07h"
"old town","medical","0","08/04 @ 08h"
"old town","medical","3","08/04 @ 09h"
"old town","medical","0","08/04 @ 10h"
"old town","medical","1","08/04 @ 11h"
"old town","medical","0","08/04 @ 12h"
"old town","medical","9","08/04 @ 13h"
"old town","medical","9","08/04 @ 14h"
"old town","medical","5","08/04 @ 15h"
"old town","medical","3","08/04 @ 16h"
"old town","medical","1","08/04 @ 17h"
"old town","medical","1","08/04 @ 18h"
"old town","medical","0","08/04 @ 19h"
"old town","medical","0","08/04 @ 20h"
"old town","medical","0","08/04 @ 21h"
"old town","medical","0","08/04 @ 22h"
"old town","medical","1","08/04 @ 23h"
"old town","medical","0","09/04 @ 00h"
"old town","medical","0","09/04 @ 01h"
"old town","medical","0","09/04 @ 02h"
"old town","medical","0","09/04 @ 03h"
"old town","medical","0","09/04 @ 04h"
"old town","medical","1","09/04 @ 05h"
"old town","medical","5","09/04 @ 06h"
"old town","medical","0","09/04 @ 07h"
"old town","medical","0","09/04 @ 08h"
"old town","medical","0","09/04 @ 09h"
"old town","medical","0","09/04 @ 10h"
"old town","medical","2","09/04 @ 11h"
"old town","medical","1","09/04 @ 12h"
"old town","medical","0","09/04 @ 13h"
"old town","medical","0","09/04 @ 14h"
"old town","medical","0","09/04 @ 15h"
"old town","medical","0","09/04 @ 16h"
"old town","medical","0","09/04 @ 17h"
"old town","medical","1","09/04 @ 18h"
"old town","medical","0","09/04 @ 19h"
"old town","medical","0","09/04 @ 20h"
"old town","medical","0","09/04 @ 21h"
"old town","medical","0","09/04 @ 22h"
"old town","medical","0","09/04 @ 23h"
"old town","medical","0","10/04 @ 00h"
"old town","medical","0","10/04 @ 01h"
"old town","medical","0","10/04 @ 02h"
"old town","medical","0","10/04 @ 03h"
"old town","medical","0","10/04 @ 04h"
"old town","medical","0","10/04 @ 05h"
"old town","medical","0","10/04 @ 06h"
"old town","medical","1","10/04 @ 07h"
"old town","medical","0","10/04 @ 08h"
"old town","medical","0","10/04 @ 09h"
"old town","medical","2","10/04 @ 10h"
"old town","medical","0","10/04 @ 11h"
"old town","medical","0","10/04 @ 12h"
"old town","building","0","06/04 @ 00h"
"old town","building","0","06/04 @ 01h"
"old town","building","0","06/04 @ 02h"
"old town","building","0","06/04 @ 03h"
"old town","building","0","06/04 @ 04h"
"old town","building","0","06/04 @ 05h"
"old town","building","0","06/04 @ 06h"
"old town","building","0","06/04 @ 07h"
"old town","building","0","06/04 @ 08h"
"old town","building","0","06/04 @ 09h"
"old town","building","0","06/04 @ 10h"
"old town","building","0","06/04 @ 11h"
"old town","building","0","06/04 @ 12h"
"old town","building","1","06/04 @ 13h"
"old town","building","1","06/04 @ 14h"
"old town","building","0","06/04 @ 15h"
"old town","building","0","06/04 @ 16h"
"old town","building","1","06/04 @ 17h"
"old town","building","0","06/04 @ 18h"
"old town","building","1","06/04 @ 19h"
"old town","building","0","06/04 @ 20h"
"old town","building","0","06/04 @ 21h"
"old town","building","0","06/04 @ 22h"
"old town","building","0","06/04 @ 23h"
"old town","building","0","07/04 @ 00h"
"old town","building","0","07/04 @ 01h"
"old town","building","0","07/04 @ 02h"
"old town","building","0","07/04 @ 03h"
"old town","building","0","07/04 @ 04h"
"old town","building","0","07/04 @ 05h"
"old town","building","0","07/04 @ 06h"
"old town","building","0","07/04 @ 07h"
"old town","building","1","07/04 @ 08h"
"old town","building","0","07/04 @ 09h"
"old town","building","0","07/04 @ 10h"
"old town","building","0","07/04 @ 11h"
"old town","building","0","07/04 @ 12h"
"old town","building","0","07/04 @ 13h"
"old town","building","0","07/04 @ 14h"
"old town","building","0","07/04 @ 15h"
"old town","building","0","07/04 @ 16h"
"old town","building","0","07/04 @ 17h"
"old town","building","0","07/04 @ 18h"
"old town","building","0","07/04 @ 19h"
"old town","building","1","07/04 @ 20h"
"old town","building","0","07/04 @ 21h"
"old town","building","0","07/04 @ 22h"
"old town","building","0","07/04 @ 23h"
"old town","building","0","08/04 @ 00h"
"old town","building","0","08/04 @ 01h"
"old town","building","0","08/04 @ 02h"
"old town","building","0","08/04 @ 03h"
"old town","building","0","08/04 @ 04h"
"old town","building","0","08/04 @ 05h"
"old town","building","0","08/04 @ 06h"
"old town","building","4","08/04 @ 07h"
"old town","building","1","08/04 @ 08h"
"old town","building","2","08/04 @ 09h"
"old town","building","0","08/04 @ 10h"
"old town","building","1","08/04 @ 11h"
"old town","building","2","08/04 @ 12h"
"old town","building","5","08/04 @ 13h"
"old town","building","5","08/04 @ 14h"
"old town","building","3","08/04 @ 15h"
"old town","building","1","08/04 @ 16h"
"old town","building","0","08/04 @ 17h"
"old town","building","4","08/04 @ 18h"
"old town","building","3","08/04 @ 19h"
"old town","building","1","08/04 @ 20h"
"old town","building","4","08/04 @ 21h"
"old town","building","0","08/04 @ 22h"
"old town","building","1","08/04 @ 23h"
"old town","building","3","09/04 @ 00h"
"old town","building","0","09/04 @ 01h"
"old town","building","0","09/04 @ 02h"
"old town","building","0","09/04 @ 03h"
"old town","building","1","09/04 @ 04h"
"old town","building","0","09/04 @ 05h"
"old town","building","0","09/04 @ 06h"
"old town","building","0","09/04 @ 07h"
"old town","building","4","09/04 @ 08h"
"old town","building","4","09/04 @ 09h"
"old town","building","0","09/04 @ 10h"
"old town","building","5","09/04 @ 11h"
"old town","building","0","09/04 @ 12h"
"old town","building","2","09/04 @ 13h"
"old town","building","6","09/04 @ 14h"
"old town","building","1","09/04 @ 15h"
"old town","building","1","09/04 @ 16h"
"old town","building","0","09/04 @ 17h"
"old town","building","1","09/04 @ 18h"
"old town","building","0","09/04 @ 19h"
"old town","building","0","09/04 @ 20h"
"old town","building","0","09/04 @ 21h"
"old town","building","0","09/04 @ 22h"
"old town","building","0","09/04 @ 23h"
"old town","building","2","10/04 @ 00h"
"old town","building","1","10/04 @ 01h"
"old town","building","0","10/04 @ 02h"
"old town","building","0","10/04 @ 03h"
"old town","building","0","10/04 @ 04h"
"old town","building","0","10/04 @ 05h"
"old town","building","0","10/04 @ 06h"
"old town","building","3","10/04 @ 07h"
"old town","building","0","10/04 @ 08h"
"old town","building","0","10/04 @ 09h"
"old town","building","0","10/04 @ 10h"
"old town","building","3","10/04 @ 11h"
"old town","building","0","10/04 @ 12h"
"old town","sewer","0","06/04 @ 00h"
"old town","sewer","0","06/04 @ 01h"
"old town","sewer","0","06/04 @ 02h"
"old town","sewer","0","06/04 @ 03h"
"old town","sewer","0","06/04 @ 04h"
"old town","sewer","0","06/04 @ 05h"
"old town","sewer","0","06/04 @ 06h"
"old town","sewer","0","06/04 @ 07h"
"old town","sewer","1","06/04 @ 08h"
"old town","sewer","0","06/04 @ 09h"
"old town","sewer","0","06/04 @ 10h"
"old town","sewer","0","06/04 @ 11h"
"old town","sewer","0","06/04 @ 12h"
"old town","sewer","0","06/04 @ 13h"
"old town","sewer","1","06/04 @ 14h"
"old town","sewer","0","06/04 @ 15h"
"old town","sewer","1","06/04 @ 16h"
"old town","sewer","1","06/04 @ 17h"
"old town","sewer","0","06/04 @ 18h"
"old town","sewer","0","06/04 @ 19h"
"old town","sewer","0","06/04 @ 20h"
"old town","sewer","0","06/04 @ 21h"
"old town","sewer","0","06/04 @ 22h"
"old town","sewer","0","06/04 @ 23h"
"old town","sewer","0","07/04 @ 00h"
"old town","sewer","0","07/04 @ 01h"
"old town","sewer","0","07/04 @ 02h"
"old town","sewer","0","07/04 @ 03h"
"old town","sewer","0","07/04 @ 04h"
"old town","sewer","0","07/04 @ 05h"
"old town","sewer","0","07/04 @ 06h"
"old town","sewer","0","07/04 @ 07h"
"old town","sewer","0","07/04 @ 08h"
"old town","sewer","0","07/04 @ 09h"
"old town","sewer","1","07/04 @ 10h"
"old town","sewer","0","07/04 @ 11h"
"old town","sewer","0","07/04 @ 12h"
"old town","sewer","0","07/04 @ 13h"
"old town","sewer","0","07/04 @ 14h"
"old town","sewer","0","07/04 @ 15h"
"old town","sewer","1","07/04 @ 16h"
"old town","sewer","2","07/04 @ 17h"
"old town","sewer","0","07/04 @ 18h"
"old town","sewer","0","07/04 @ 19h"
"old town","sewer","0","07/04 @ 20h"
"old town","sewer","0","07/04 @ 21h"
"old town","sewer","0","07/04 @ 22h"
"old town","sewer","1","07/04 @ 23h"
"old town","sewer","0","08/04 @ 00h"
"old town","sewer","0","08/04 @ 01h"
"old town","sewer","0","08/04 @ 02h"
"old town","sewer","0","08/04 @ 03h"
"old town","sewer","0","08/04 @ 04h"
"old town","sewer","0","08/04 @ 05h"
"old town","sewer","0","08/04 @ 06h"
"old town","sewer","1","08/04 @ 07h"
"old town","sewer","2","08/04 @ 08h"
"old town","sewer","5","08/04 @ 09h"
"old town","sewer","1","08/04 @ 10h"
"old town","sewer","0","08/04 @ 11h"
"old town","sewer","1","08/04 @ 12h"
"old town","sewer","17","08/04 @ 13h"
"old town","sewer","10","08/04 @ 14h"
"old town","sewer","1","08/04 @ 15h"
"old town","sewer","1","08/04 @ 16h"
"old town","sewer","0","08/04 @ 17h"
"old town","sewer","7","08/04 @ 18h"
"old town","sewer","2","08/04 @ 19h"
"old town","sewer","3","08/04 @ 20h"
"old town","sewer","3","08/04 @ 21h"
"old town","sewer","0","08/04 @ 22h"
"old town","sewer","1","08/04 @ 23h"
"old town","sewer","0","09/04 @ 00h"
"old town","sewer","1","09/04 @ 01h"
"old town","sewer","2","09/04 @ 02h"
"old town","sewer","1","09/04 @ 03h"
"old town","sewer","1","09/04 @ 04h"
"old town","sewer","2","09/04 @ 05h"
"old town","sewer","0","09/04 @ 06h"
"old town","sewer","2","09/04 @ 07h"
"old town","sewer","3","09/04 @ 08h"
"old town","sewer","0","09/04 @ 09h"
"old town","sewer","1","09/04 @ 10h"
"old town","sewer","1","09/04 @ 11h"
"old town","sewer","3","09/04 @ 12h"
"old town","sewer","3","09/04 @ 13h"
"old town","sewer","1","09/04 @ 14h"
"old town","sewer","1","09/04 @ 15h"
"old town","sewer","0","09/04 @ 16h"
"old town","sewer","0","09/04 @ 17h"
"old town","sewer","2","09/04 @ 18h"
"old town","sewer","0","09/04 @ 19h"
"old town","sewer","0","09/04 @ 20h"
"old town","sewer","0","09/04 @ 21h"
"old town","sewer","0","09/04 @ 22h"
"old town","sewer","0","09/04 @ 23h"
"old town","sewer","0","10/04 @ 00h"
"old town","sewer","0","10/04 @ 01h"
"old town","sewer","0","10/04 @ 02h"
"old town","sewer","0","10/04 @ 03h"
"old town","sewer","0","10/04 @ 04h"
"old town","sewer","0","10/04 @ 05h"
"old town","sewer","0","10/04 @ 06h"
"old town","sewer","1","10/04 @ 07h"
"old town","sewer","0","10/04 @ 08h"
"old town","sewer","2","10/04 @ 09h"
"old town","sewer","0","10/04 @ 10h"
"old town","sewer","1","10/04 @ 11h"
"old town","sewer","0","10/04 @ 12h"
"old town","rain","0","06/04 @ 00h"
"old town","rain","0","06/04 @ 01h"
"old town","rain","0","06/04 @ 02h"
"old town","rain","0","06/04 @ 03h"
"old town","rain","0","06/04 @ 04h"
"old town","rain","0","06/04 @ 05h"
"old town","rain","0","06/04 @ 06h"
"old town","rain","0","06/04 @ 07h"
"old town","rain","0","06/04 @ 08h"
"old town","rain","0","06/04 @ 09h"
"old town","rain","0","06/04 @ 10h"
"old town","rain","0","06/04 @ 11h"
"old town","rain","0","06/04 @ 12h"
"old town","rain","0","06/04 @ 13h"
"old town","rain","1","06/04 @ 14h"
"old town","rain","1","06/04 @ 15h"
"old town","rain","0","06/04 @ 16h"
"old town","rain","1","06/04 @ 17h"
"old town","rain","1","06/04 @ 18h"
"old town","rain","0","06/04 @ 19h"
"old town","rain","0","06/04 @ 20h"
"old town","rain","0","06/04 @ 21h"
"old town","rain","0","06/04 @ 22h"
"old town","rain","0","06/04 @ 23h"
"old town","rain","0","07/04 @ 00h"
"old town","rain","0","07/04 @ 01h"
"old town","rain","0","07/04 @ 02h"
"old town","rain","0","07/04 @ 03h"
"old town","rain","0","07/04 @ 04h"
"old town","rain","0","07/04 @ 05h"
"old town","rain","0","07/04 @ 06h"
"old town","rain","0","07/04 @ 07h"
"old town","rain","0","07/04 @ 08h"
"old town","rain","0","07/04 @ 09h"
"old town","rain","0","07/04 @ 10h"
"old town","rain","0","07/04 @ 11h"
"old town","rain","0","07/04 @ 12h"
"old town","rain","0","07/04 @ 13h"
"old town","rain","0","07/04 @ 14h"
"old town","rain","1","07/04 @ 15h"
"old town","rain","0","07/04 @ 16h"
"old town","rain","0","07/04 @ 17h"
"old town","rain","0","07/04 @ 18h"
"old town","rain","0","07/04 @ 19h"
